function_name,py_file,line_number
FunctionExtractor.__init__,extract_functions.py,17
FunctionExtractor.visit_ClassDef,extract_functions.py,22
FunctionExtractor.visit_FunctionDef,extract_functions.py,29
FunctionExtractor.visit_AsyncFunctionDef,extract_functions.py,43
extract_functions_from_file,extract_functions.py,54
scan_directory,extract_functions.py,85
generate_csv,extract_functions.py,105
main,extract_functions.py,123
SecureUSBMacApp.__init__,macos/src/app.py,29
SecureUSBMacApp.start,macos/src/app.py,54
SecureUSBMacApp._cleanup,macos/src/app.py,60
SecureUSBMacApp._load_authentication,macos/src/app.py,70
SecureUSBMacApp._drain_events,macos/src/app.py,80
SecureUSBMacApp._handle_device_connected,macos/src/app.py,87
SecureUSBMacApp._handle_device_removed,macos/src/app.py,131
SecureUSBMacApp._handle_timeout,macos/src/app.py,150
SecureUSBMacApp._authorize_device,macos/src/app.py,158
SecureUSBMacApp._power_only,macos/src/app.py,197
SecureUSBMacApp._deny_device,macos/src/app.py,219
SecureUSBMacApp._close_dialog,macos/src/app.py,232
SecureUSBMacApp._verify_code,macos/src/app.py,246
main,macos/src/app.py,260
_ensure_repo_on_path,macos/src/path_setup.py,9
_cf_string,macos/src/usb_blocker.py,58
_cf_number,macos/src/usb_blocker.py,62
_io_service_for_location,macos/src/usb_blocker.py,67
MacDeviceBlocker.block_device,macos/src/usb_blocker.py,94
MacDeviceBlocker.allow_device,macos/src/usb_blocker.py,100
MacDeviceBlocker.power_only,macos/src/usb_blocker.py,104
MacDeviceBlocker._set_port_disabled,macos/src/usb_blocker.py,109
MacDeviceBlocker._force_unmount,macos/src/usb_blocker.py,122
MacUSBDevice.to_dict,macos/src/usb_monitor.py,34
MacUSBMonitor.__init__,macos/src/usb_monitor.py,49
MacUSBMonitor.start,macos/src/usb_monitor.py,56
MacUSBMonitor.stop,macos/src/usb_monitor.py,63
MacUSBMonitor.get_events,macos/src/usb_monitor.py,69
MacUSBMonitor._run,macos/src/usb_monitor.py,78
MacUSBMonitor._enumerate_devices,macos/src/usb_monitor.py,92
MacUSBMonitor._flatten_items,macos/src/usb_monitor.py,120
MacUSBMonitor._parse_device,macos/src/usb_monitor.py,128
MacUSBMonitor._extract_hex,macos/src/usb_monitor.py,150
__getattr__,ports/shared/__init__.py,6
AuthorizationDialog.__init__,ports/shared/dialog.py,35
AuthorizationDialog._build_ui,ports/shared/dialog.py,61
AuthorizationDialog._format_device_text,ports/shared/dialog.py,122
AuthorizationDialog._on_text_changed,ports/shared/dialog.py,129
AuthorizationDialog._update_countdown_label,ports/shared/dialog.py,138
AuthorizationDialog._tick,ports/shared/dialog.py,143
AuthorizationDialog._handle_submit,ports/shared/dialog.py,153
AuthorizationDialog._handle_deny,ports/shared/dialog.py,170
AuthorizationDialog.show_error,ports/shared/dialog.py,174
AuthorizationDialog.closeEvent,ports/shared/dialog.py,178
run_cli_setup,ports/shared/setup_cli.py,18
SecureStorage.__init__,src/auth/storage.py,25
SecureStorage._init_encryption,src/auth/storage.py,51
SecureStorage.save_auth_data,src/auth/storage.py,90
SecureStorage.load_auth_data,src/auth/storage.py,128
SecureStorage.is_configured,src/auth/storage.py,158
SecureStorage.remove_recovery_code,src/auth/storage.py,167
SecureStorage.get_remaining_recovery_codes_count,src/auth/storage.py,198
SecureStorage.reset_auth,src/auth/storage.py,211
SecureStorage.export_config,src/auth/storage.py,226
SecureStorage.import_config,src/auth/storage.py,268
TOTPAuthenticator.__init__,src/auth/totp.py,19
TOTPAuthenticator.get_secret,src/auth/totp.py,35
TOTPAuthenticator.get_provisioning_uri,src/auth/totp.py,44
TOTPAuthenticator.verify_code,src/auth/totp.py,61
TOTPAuthenticator.get_current_code,src/auth/totp.py,96
TOTPAuthenticator.get_time_remaining,src/auth/totp.py,107
RecoveryCodeManager.generate_codes,src/auth/totp.py,121
RecoveryCodeManager.hash_code,src/auth/totp.py,145
RecoveryCodeManager.verify_code,src/auth/totp.py,161
RecoveryCodeManager.format_code,src/auth/totp.py,175
create_new_authenticator,src/auth/totp.py,196
USBAuthorization.is_root,src/daemon/authorization.py,28
USBAuthorization.get_device_path,src/daemon/authorization.py,38
USBAuthorization.device_exists,src/daemon/authorization.py,59
USBAuthorization.authorize_device,src/daemon/authorization.py,73
USBAuthorization.get_authorization_status,src/daemon/authorization.py,108
USBAuthorization.block_device,src/daemon/authorization.py,133
USBAuthorization.allow_device,src/daemon/authorization.py,146
USBAuthorization.set_power_only_mode,src/daemon/authorization.py,159
USBAuthorization._unbind_interfaces,src/daemon/authorization.py,181
USBAuthorization.set_default_authorization,src/daemon/authorization.py,216
USBAuthorization.read_device_attribute,src/daemon/authorization.py,249
USBAuthorization.get_device_info,src/daemon/authorization.py,272
SecureUSBService.__init__,src/daemon/dbus_service.py,25
SecureUSBService.Ping,src/daemon/dbus_service.py,46
SecureUSBService.GetVersion,src/daemon/dbus_service.py,56
SecureUSBService.IsEnabled,src/daemon/dbus_service.py,66
SecureUSBService.SetEnabled,src/daemon/dbus_service.py,81
SecureUSBService.AuthorizeDevice,src/daemon/dbus_service.py,96
SecureUSBService.DenyDevice,src/daemon/dbus_service.py,134
